iter	Passed	Remaining
0	2	205
1	3	182
2	5	169
3	6	152
4	7	149
5	9	145
6	10	144
7	12	141
8	13	139
9	15	139
10	17	138
11	18	136
12	20	134
13	21	132
14	23	131
15	24	129
16	26	127
17	27	125
18	29	123
19	30	122
20	32	121
21	33	119
22	35	118
23	36	116
24	38	114
25	39	113
26	41	111
27	42	110
28	44	108
29	46	107
30	47	106
31	49	104
32	50	103
33	52	101
34	53	99
35	55	97
36	56	96
37	58	95
38	59	93
39	61	91
40	62	90
41	63	87
42	64	85
43	66	84
44	67	82
45	68	80
46	70	79
47	72	78
48	73	76
49	75	75
50	76	73
51	77	71
52	79	70
53	80	68
54	81	66
55	82	65
56	84	63
57	86	62
58	87	61
59	89	59
60	90	58
61	92	56
62	93	55
63	95	53
64	96	52
65	98	50
66	99	49
67	100	47
68	102	46
69	104	44
70	105	43
71	107	41
72	108	40
73	110	38
74	111	37
75	113	35
76	114	34
77	116	32
78	117	31
79	119	29
80	120	28
81	122	26
82	123	25
83	124	23
84	126	22
85	127	20
86	129	19
87	131	17
88	132	16
89	134	14
90	135	13
91	136	11
92	138	10
93	139	8
94	141	7
95	142	5
96	143	4
97	145	2
98	146	1
99	148	0
